id,subset,key,smiles,formula,level,mwt,nH,nC,nCl,E,H,S,G,dE,dH,dS,dG,zpe,homo,lumo,gap,Mu,alpha,tMu,rotA,rotB,rotC
3-0341,monoCl,HFPKAIASNOMOFT-UHFFFAOYSA-N,c1c(Cl)cc2c(c1)c1-c3cc4ccccc4c4c3c(-c1cc2)ccc4,C24H13Cl,r2scan,336.821,13,24,1,-1382.409634782302,-1382.1037907259,0.0002090641,-1382.1661231933,7.857923485512,7.6417776871,0.0017799231,7.1110934734,0.2872113409,-5.3948,-2.9245,2.4703,2.60403,332.54499,0.95770 -0.36384 -0.00002,0.013622,0.003934,0.003053
3-0341,monoCl,HFPKAIASNOMOFT-UHFFFAOYSA-N,c1c(Cl)cc2c(c1)c1-c3cc4ccccc4c4c3c(-c1cc2)ccc4,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.413292488254,-1383.1074484319,0.0002090641,-1383.1697808993,7.748140156462,7.5319943579,0.0017799231,7.0013101455,0.2872113409,-7.9835,-0.6208,7.3627,2.46039,315.93098,0.89335 -0.37268 -0.00001,0.013622,0.003934,0.003053
3-0342,monoCl,HGEMQCBSRGBATK-UHFFFAOYSA-N,c1ccc2c(c1)ccc1-c3c4c(-c21)cccc4c1c(c3)cccc1Cl,C24H13Cl,xtb2,336.821,13,24,1,-62.598486647092,-62.29836531411,0.000217699704,-62.363272480777,9.961572668203,9.751151413661,0.001656212114,9.257351770537,0.281084703159,-10.0414,-7.9604,2.080951748302,1.585,257.175438,-0.178 -0.598 0.000,0.01828679,0.003989827,0.003275234
3-0342,monoCl,HGEMQCBSRGBATK-UHFFFAOYSA-N,c1ccc2c(c1)ccc1-c3c4c(-c21)cccc4c1c(c3)cccc1Cl,C24H13Cl,r2scan,336.821,13,24,1,-1382.400093291186,-1382.0940012688,0.0002120596,-1382.157226842,7.848381994396,7.63198823,0.0017769276,7.1021971221,0.2874120432,-5.3189,-2.857,2.4619,1.53236,330.93199,-0.13689 -0.58712 -0.00023,0.018083,0.003946,0.003239
3-0342,monoCl,HGEMQCBSRGBATK-UHFFFAOYSA-N,c1ccc2c(c1)ccc1-c3c4c(-c21)cccc4c1c(c3)cccc1Cl,C24H13Cl,d4tzvp,336.821,13,24,1,-1383.404753800372,-1383.098661778,0.0002120596,-1383.1618873512,7.73960146858,7.523207704,0.0017769276,6.9934165974,0.2874120432,-7.9271,-0.5472,7.3799,1.6391,314.95245,-0.17108 -0.62175 -0.00024,0.018083,0.003946,0.003239
3-0343,monoCl,HGPKYHYHCXHFJP-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)c2c(cc1)c1cc(Cl)ccc1c1c2cccc1,C26H15Cl,xtb2,362.859,15,26,1,-67.901571554807,-67.566264881006,0.000226310701,-67.633739416569,10.891099305316,10.654934823475,0.001836883423,10.107268029657,0.31458041641,-9.8684,-7.788,2.080376416609,2.396,279.817695,-0.669 -0.656 -0.101,0.0115877,0.003457236,0.002760857
3-0343,monoCl,HGPKYHYHCXHFJP-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)c2c(cc1)c1cc(Cl)ccc1c1c2cccc1,C26H15Cl,r2scan,362.859,15,26,1,-1459.806196319113,-1459.4631495012,0.0002183034,-1459.5282366605,8.595509476417,8.3516028384,0.0019714,7.7638297714,0.3230414016,-5.0799,-2.7151,2.3648,2.23127,364.581,-0.61586 -0.62122 -0.07338,0.011412,0.003425,0.002723
3-0343,monoCl,HGPKYHYHCXHFJP-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)c2c(cc1)c1cc(Cl)ccc1c1c2cccc1,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.894915572736,-1460.5518687548,0.0002183034,-1460.6169559141,8.474082270698,8.2301756324,0.0019714,7.6424025669,0.3230414016,-7.5145,-0.3717,7.1428,2.2104,347.13105,-0.60115 -0.62363 -0.07705,0.011412,0.003425,0.002723
3-0344,monoCl,HGRRMCADYZWZTG-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2cc2c(c1)c1ccccc1c1c2ccc(c1)Cl,C26H15Cl,xtb2,362.859,15,26,1,-67.912131744068,-67.576476379472,0.000233522592,-67.646101140147,10.901659494577,10.665146321941,0.001829671532,10.119629753235,0.314514987308,-10.1605,-7.4969,2.663517094007,2.382,279.8359,0.653 -0.672 -0.001,0.009843137,0.003563399,0.002616264
3-0344,monoCl,HGRRMCADYZWZTG-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2cc2c(c1)c1ccccc1c1c2ccc(c1)Cl,C26H15Cl,r2scan,362.859,15,26,1,-1459.819520884932,-1459.4778624703,0.000227137,-1459.5455833635,8.608834042236,8.3663158075,0.0019625664,7.7811764744,0.320616777,-5.4076,-2.4247,2.9829,2.15415,362.27812,0.59588 -0.60264 -0.00049,0.009746,0.003537,0.002595
3-0344,monoCl,HGRRMCADYZWZTG-UHFFFAOYSA-N,c1ccc2c(c1)ccc1c2cc2c(c1)c1ccccc1c1c2ccc(c1)Cl,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.91244643155,-1460.570788017,0.000227137,-1460.6385089102002,8.491613129512,8.2490948946,0.0019625664,7.663955563,0.320616777,-7.9477,-0.0051,7.9426,2.19268,343.76099,0.60373 -0.61618 -0.00048,0.009746,0.003537,0.002595
3-0345,monoCl,HHUXJKDSYDKSRA-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)ccc1c2c(Cl)c2ccccc2c1,C26H15Cl,xtb2,362.859,15,26,1,-67.892040467482,-67.557404835256,0.000225912244,-67.624760570658,10.881568217991,10.646074777725,0.00183728188,10.098289183746,0.313873670472,-9.7228,-7.8584,1.86446992618,1.373,279.901304,0.181 -0.464 -0.210,0.01669102,0.002908192,0.00250858
3-0345,monoCl,HHUXJKDSYDKSRA-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)ccc1c2c(Cl)c2ccccc2c1,C26H15Cl,r2scan,362.859,15,26,1,-1459.794200847369,-1459.4518551909,0.000218147,-1459.5168957313,8.583514004673,8.3403085281,0.0019715564,7.7524888422,0.3223223818,-4.8915,-2.8148,2.0767,1.12838,408.17787,0.15696 -0.35313 -0.21849,0.016586,0.002863,0.002475
3-0345,monoCl,HHUXJKDSYDKSRA-UHFFFAOYSA-N,c1ccc2c(c1)cc1c(c2)cc2c(c1)ccc1c2c(Cl)c2ccccc2c1,C26H15Cl,d4tzvp,362.859,15,26,1,-1460.878274083216,-1460.5359284267,0.000218147,-1460.6009689671002,8.457440781178,8.2142353043,0.0019715564,7.6264156199,0.3223223818,-7.2853,-0.4968,6.7885,1.1965,378.18022,0.20188 -0.36304 -0.22144,0.016586,0.002863,0.002475
